team_id,manager_id,manager_name,team,season,week,player_name,player_id,player_team,position,set_pos,points
129857,1123302,Cina,SCC,20,1,Kristaps Porzingis,1303,DAL,PF/C,C,66.3
129857,1123302,Cina,SCC,20,1,Marcus Morris,767,NYK,F,ANY,38.5
129857,1123302,Cina,SCC,20,1,Reggie Jackson,777,DET,G,BN,19.2
129857,1123302,Cina,SCC,20,1,Rui Hachimura,1875,WAS,PF,PF,43.3
129857,1123302,Cina,SCC,20,1,Willie Cauley-Stein,1254,GSW,C,BN,0
129857,1123302,Cina,SCC,20,2,Bojan Bogdanovic,784,UTA,SG/F,G,48
129857,1123302,Cina,SCC,20,2,Bryn Forbes,1507,SAS,G,ANY,30.9
129857,1123302,Cina,SCC,20,2,Caris LeVert,1416,BKN,G/SF,SG/SF,38
129857,1123302,Cina,SCC,20,2,Damian Lillard,932,POR,PG,PG,85.8
129857,1123302,Cina,SCC,20,2,Enes Kanter,756,BOS,C,BN,0
129857,1123302,Cina,SCC,20,2,Goran Dragic,132,MIA,PG,ANY,0
129857,1123302,Cina,SCC,20,2,Jarrett Allen,1538,BKN,PF/C,PF/C,28.2
129857,1123302,Cina,SCC,20,2,Jayson Tatum,1532,BOS,F,SF,58.5
129857,1123302,Cina,SCC,20,2,Jimmy Butler,783,MIA,SG/SF,SG,60.8
129857,1123302,Cina,SCC,20,2,Kristaps Porzingis,1303,DAL,PF/C,C,50.7
129857,1123302,Cina,SCC,20,2,Marcus Morris,767,NYK,F,PF,51.2
129857,1123302,Cina,SCC,20,2,Rui Hachimura,1875,WAS,PF,BN,27.5
129857,1123302,Cina,SCC,20,2,Willie Cauley-Stein,1254,GSW,C,BN,29.2
129857,1123302,Cina,SCC,20,3,Bojan Bogdanovic,784,UTA,SG/F,G,59.8
129857,1123302,Cina,SCC,20,3,Bryn Forbes,1507,SAS,G,BN,35
129857,1123302,Cina,SCC,20,3,Caris LeVert,1416,BKN,G/SF,SG/SF,37
129857,1123302,Cina,SCC,20,3,Damian Lillard,932,POR,PG,PG,86.8
129857,1123302,Cina,SCC,20,3,Davis Bertans,1510,WAS,F,BN,26.3
129857,1123302,Cina,SCC,20,3,DeAndre Jordan,262,BKN,C,ANY,40.5
129857,1123302,Cina,SCC,20,3,Enes Kanter,756,BOS,C,BN,0
129857,1123302,Cina,SCC,20,3,Goran Dragic,132,MIA,PG,ANY,50.7
129857,1123302,Cina,SCC,20,3,Jayson Tatum,1532,BOS,F,SF,56.2
129857,1123302,Cina,SCC,20,3,Jimmy Butler,783,MIA,SG/SF,SG,56.5
129857,1123302,Cina,SCC,20,3,Kristaps Porzingis,1303,DAL,PF/C,C,0
129857,1123302,Cina,SCC,20,3,Rui Hachimura,1875,WAS,PF,PF,0
129857,1123302,Cina,SCC,20,3,Willie Cauley-Stein,1254,GSW,C,PF/C,25.5
129857,1123302,Cina,SCC,20,4,Bojan Bogdanovic,784,UTA,SG/F,PF,26.8
129857,1123302,Cina,SCC,20,4,Brandon Clarke,1892,MEM,PF/C,PF/C,36.5
129857,1123302,Cina,SCC,20,4,Caris LeVert,1416,BKN,G/SF,BN,0
129857,1123302,Cina,SCC,20,4,Damian Lillard,932,POR,PG,PG,51.2
129857,1123302,Cina,SCC,20,4,Danuel House,1478,HOU,F,ANY,6.5
129857,1123302,Cina,SCC,20,4,Enes Kanter,756,BOS,C,ANY,0
129857,1123302,Cina,SCC,20,4,Eric Paschall,1877,GSW,F,SG/SF,25.2
129857,1123302,Cina,SCC,20,4,Goran Dragic,132,MIA,PG,G,24.2
129857,1123302,Cina,SCC,20,4,Jayson Tatum,1532,BOS,F,SF,35
